coachID,year,tmID,stint,lgID,franchID,confID,divID,rank,playoff,seeded,firstRound,semis,finals,name,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,tmORB,tmDRB,tmTRB,opptmORB,opptmDRB,opptmTRB,won_y,lost_y,GP,homeW,homeL,awayW,awayL,confW,confL,min,attend,arena,powerRanking
allenso99w,2,SAC,1,WNBA,SAC,WE,,2,Y,0,W,L,,Sacramento Monarchs,837,1974,457,618,163,423,374,723,1097,558,588,276,494,158,804,2003,415,578,116,400,343,662,1005,496,616,261,481,143,0,0,0,0,0,0,20,12,32,12,4,8,8,13,8,6525,133603,ARCO Arena (II),40.97126290723918
mchugma99w,2,SAC,2,WNBA,SAC,WE,,2,Y,0,W,L,,Sacramento Monarchs,837,1974,457,618,163,423,374,723,1097,558,588,276,494,158,804,2003,415,578,116,400,343,662,1005,496,616,261,481,143,0,0,0,0,0,0,20,12,32,12,4,8,8,13,8,6525,133603,ARCO Arena (II),47.63792957390615
bibbyhe01w,6,LAS,1,WNBA,LAS,WE,,4,Y,0,L,,,Los Angeles Sparks,873,2042,456,630,124,387,321,683,1004,551,737,264,492,136,818,1955,527,709,182,519,332,709,1041,567,654,247,544,115,0,0,0,0,0,0,17,17,34,11,6,6,11,12,10,6800,150521,Staples Center,-136.87485664012956
bryanjo01w,6,LAS,2,WNBA,LAS,WE,,4,Y,0,L,,,Los Angeles Sparks,873,2042,456,630,124,387,321,683,1004,551,737,264,492,136,818,1955,527,709,182,519,332,709,1041,567,654,247,544,115,0,0,0,0,0,0,17,17,34,11,6,6,11,12,10,6800,150521,Staples Center,-130.12882489409776
boguemu01w,6,CHA,2,WNBA,CHA,EA,,6,N,0,,,,Charlotte Sting,772,1913,447,624,104,301,316,609,925,493,727,284,535,113,851,1888,509,713,124,339,355,700,1055,496,654,269,534,146,0,0,0,0,0,0,6,28,34,5,12,1,16,4,16,6945,98054,Charlotte Coliseum,-346.9008103998649
laceytr99w,6,CHA,1,WNBA,CHA,EA,,6,N,0,,,,Charlotte Sting,772,1913,447,624,104,301,316,609,925,493,727,284,535,113,851,1888,509,713,124,339,355,700,1055,496,654,269,534,146,0,0,0,0,0,0,6,28,34,5,12,1,16,4,16,6945,98054,Charlotte Coliseum,-352.73414373319815
boguemu01w,7,CHA,0,WNBA,CHA,EA,,6,N,0,,,,Charlotte Sting,864,2178,552,777,176,544,347,747,1094,527,734,315,574,155,911,2149,594,791,155,465,370,870,1240,522,707,286,619,125,0,0,0,0,0,0,11,23,34,7,10,4,13,6,14,6825,106942,Time Warner Cable Arena,-247.23028452820608
bouceje01w,8,SAC,0,WNBA,SAC,WE,,3,Y,0,L,,,Sacramento Monarchs,901,2214,572,745,153,429,452,723,1175,537,642,325,611,101,891,2081,512,664,186,547,308,718,1026,542,689,274,649,141,0,0,0,0,0,0,19,15,34,12,5,7,10,12,10,6950,142575,ARCO Arena (II),-82.27003276699088
bouceje01w,9,SAC,0,WNBA,SAC,WE,,4,Y,0,L,,,Sacramento Monarchs,883,2159,611,816,168,438,388,721,1109,473,690,319,586,77,958,2128,469,622,186,542,308,767,1075,581,759,267,624,206,0,0,0,0,0,0,18,16,34,13,4,5,12,9,11,6800,139066,ARCO Arena (II),-157.69841399902998
bouceje01w,10,SAC,1,WNBA,SAC,WE,,6,N,0,,,,Sacramento Monarchs,946,2194,586,744,132,389,391,763,1154,540,645,289,584,98,994,2221,479,586,223,604,326,702,1028,627,704,262,576,147,0,0,0,0,0,0,12,22,34,7,10,5,12,6,14,6850,131654,ARCO Arena (II),-226.4959904226971
