playerID,pos,height,weight,college,age,year,stint_x,tmID,GP_x,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,dq,franchID,confID,playoff,name,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,won_x,lost_x,GP_y,homeW,homeL,awayW,awayL,confW,confL,min,attend,arena,coachID,stint_y,won_y,lost_y,award_x,award_y
powelel01w,G,68.0,150.0,Louisiana State,48.0,3,2.0,DET,15.0,13.0,397.0,148.0,26.0,37.0,63.0,60.0,23.0,8.0,41.0,19.0,121.0,54.0,40.0,34.0,22.0,6.0,0.0,DET,EA,N,Detroit Shock,766.0,1919.0,472.0,651.0,110.0,364.0,360.0,719.0,1079.0,478.0,609.0,201.0,541.0,132.0,2114.0,828.0,1984.0,464.0,605.0,146.0,447.0,314.0,669.0,983.0,465.0,637.0,277.0,443.0,139.0,2266.0,9.0,23.0,32.0,7.0,9.0,2.0,14.0,6.0,15.0,6450.0,94171.0,The Palace of Auburn Hills,willigr99w,1.0,0.0,10.0,,
santoke01w,F,75.0,188.0,,43.0,3,0.0,DET,12.0,0.0,169.0,44.0,12.0,20.0,32.0,7.0,3.0,9.0,14.0,20.0,42.0,16.0,20.0,12.0,0.0,0.0,0.0,DET,EA,N,Detroit Shock,766.0,1919.0,472.0,651.0,110.0,364.0,360.0,719.0,1079.0,478.0,609.0,201.0,541.0,132.0,2114.0,828.0,1984.0,464.0,605.0,146.0,447.0,314.0,669.0,983.0,465.0,637.0,277.0,443.0,139.0,2266.0,9.0,23.0,32.0,7.0,9.0,2.0,14.0,6.0,15.0,6450.0,94171.0,The Palace of Auburn Hills,willigr99w,1.0,0.0,10.0,,
walkeay01w,F,75.0,142.0,Louisiana Tech,44.0,3,0.0,DET,32.0,0.0,548.0,162.0,56.0,62.0,118.0,17.0,12.0,34.0,29.0,56.0,167.0,63.0,49.0,34.0,9.0,2.0,0.0,DET,EA,N,Detroit Shock,766.0,1919.0,472.0,651.0,110.0,364.0,360.0,719.0,1079.0,478.0,609.0,201.0,541.0,132.0,2114.0,828.0,1984.0,464.0,605.0,146.0,447.0,314.0,669.0,983.0,465.0,637.0,277.0,443.0,139.0,2266.0,9.0,23.0,32.0,7.0,9.0,2.0,14.0,6.0,15.0,6450.0,94171.0,The Palace of Auburn Hills,willigr99w,1.0,0.0,10.0,,
willile02w,G-F,71.0,155.0,DePaul,44.0,3,0.0,DET,27.0,0.0,177.0,73.0,7.0,12.0,19.0,4.0,4.0,0.0,14.0,15.0,101.0,30.0,5.0,0.0,54.0,13.0,0.0,DET,EA,N,Detroit Shock,766.0,1919.0,472.0,651.0,110.0,364.0,360.0,719.0,1079.0,478.0,609.0,201.0,541.0,132.0,2114.0,828.0,1984.0,464.0,605.0,146.0,447.0,314.0,669.0,983.0,465.0,637.0,277.0,443.0,139.0,2266.0,9.0,23.0,32.0,7.0,9.0,2.0,14.0,6.0,15.0,6450.0,94171.0,The Palace of Auburn Hills,willigr99w,1.0,0.0,10.0,,
batkosu01w,C,76.0,203.0,,42.0,6,0.0,SEA,29.0,0.0,461.0,199.0,26.0,68.0,94.0,26.0,17.0,24.0,32.0,85.0,174.0,76.0,58.0,45.0,7.0,2.0,1.0,SEA,WE,Y,Seattle Storm,906.0,2066.0,544.0,688.0,142.0,429.0,323.0,776.0,1099.0,520.0,657.0,201.0,516.0,158.0,2498.0,892.0,2163.0,490.0,646.0,133.0,419.0,334.0,686.0,1020.0,568.0,691.0,267.0,438.0,154.0,2407.0,20.0,14.0,34.0,14.0,3.0,6.0,11.0,13.0,9.0,6825.0,151150.0,KeyArena at Seattle Center,donovan99w,0.0,20.0,14.0,,
battlas01w,F,72.0,170.0,Connecticut,41.0,6,0.0,SEA,2.0,0.0,8.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,SEA,WE,Y,Seattle Storm,906.0,2066.0,544.0,688.0,142.0,429.0,323.0,776.0,1099.0,520.0,657.0,201.0,516.0,158.0,2498.0,892.0,2163.0,490.0,646.0,133.0,419.0,334.0,686.0,1020.0,568.0,691.0,267.0,438.0,154.0,2407.0,20.0,14.0,34.0,14.0,3.0,6.0,11.0,13.0,9.0,6825.0,151150.0,KeyArena at Seattle Center,donovan99w,0.0,20.0,14.0,,
birdsu01w,G,69.0,150.0,Connecticut,43.0,6,0.0,SEA,30.0,30.0,1020.0,364.0,21.0,51.0,72.0,176.0,29.0,6.0,87.0,46.0,294.0,130.0,69.0,59.0,103.0,45.0,0.0,SEA,WE,Y,Seattle Storm,906.0,2066.0,544.0,688.0,142.0,429.0,323.0,776.0,1099.0,520.0,657.0,201.0,516.0,158.0,2498.0,892.0,2163.0,490.0,646.0,133.0,419.0,334.0,686.0,1020.0,568.0,691.0,267.0,438.0,154.0,2407.0,20.0,14.0,34.0,14.0,3.0,6.0,11.0,13.0,9.0,6825.0,151150.0,KeyArena at Seattle Center,donovan99w,0.0,20.0,14.0,,
burseja01w,C,77.0,199.0,Tulane,44.0,6,0.0,SEA,34.0,34.0,859.0,340.0,81.0,118.0,199.0,23.0,19.0,40.0,78.0,139.0,243.0,127.0,123.0,86.0,0.0,0.0,6.0,SEA,WE,Y,Seattle Storm,906.0,2066.0,544.0,688.0,142.0,429.0,323.0,776.0,1099.0,520.0,657.0,201.0,516.0,158.0,2498.0,892.0,2163.0,490.0,646.0,133.0,419.0,334.0,686.0,1020.0,568.0,691.0,267.0,438.0,154.0,2407.0,20.0,14.0,34.0,14.0,3.0,6.0,11.0,13.0,9.0,6825.0,151150.0,KeyArena at Seattle Center,donovan99w,0.0,20.0,14.0,,
castriz01w,F-G,72.0,140.0,,41.0,6,0.0,SEA,33.0,32.0,879.0,269.0,23.0,74.0,97.0,49.0,18.0,4.0,59.0,73.0,242.0,93.0,73.0,59.0,72.0,24.0,0.0,SEA,WE,Y,Seattle Storm,906.0,2066.0,544.0,688.0,142.0,429.0,323.0,776.0,1099.0,520.0,657.0,201.0,516.0,158.0,2498.0,892.0,2163.0,490.0,646.0,133.0,419.0,334.0,686.0,1020.0,568.0,691.0,267.0,438.0,154.0,2407.0,20.0,14.0,34.0,14.0,3.0,6.0,11.0,13.0,9.0,6825.0,151150.0,KeyArena at Seattle Center,donovan99w,0.0,20.0,14.0,,
edwarsi01w,C,76.0,164.0,Iowa,49.0,6,0.0,SEA,28.0,0.0,201.0,55.0,9.0,22.0,31.0,3.0,4.0,2.0,4.0,13.0,41.0,24.0,12.0,7.0,0.0,0.0,0.0,SEA,WE,Y,Seattle Storm,906.0,2066.0,544.0,688.0,142.0,429.0,323.0,776.0,1099.0,520.0,657.0,201.0,516.0,158.0,2498.0,892.0,2163.0,490.0,646.0,133.0,419.0,334.0,686.0,1020.0,568.0,691.0,267.0,438.0,154.0,2407.0,20.0,14.0,34.0,14.0,3.0,6.0,11.0,13.0,9.0,6825.0,151150.0,KeyArena at Seattle Center,donovan99w,0.0,20.0,14.0,,
jacksla01w,F-C,77.0,187.0,,42.0,6,0.0,SEA,34.0,34.0,1176.0,597.0,96.0,217.0,313.0,57.0,36.0,67.0,59.0,100.0,450.0,206.0,181.0,151.0,118.0,34.0,2.0,SEA,WE,Y,Seattle Storm,906.0,2066.0,544.0,688.0,142.0,429.0,323.0,776.0,1099.0,520.0,657.0,201.0,516.0,158.0,2498.0,892.0,2163.0,490.0,646.0,133.0,419.0,334.0,686.0,1020.0,568.0,691.0,267.0,438.0,154.0,2407.0,20.0,14.0,34.0,14.0,3.0,6.0,11.0,13.0,9.0,6825.0,151150.0,KeyArena at Seattle Center,donovan99w,0.0,20.0,14.0,,
lennobe01w,G,68.0,143.0,Louisiana Tech,46.0,6,0.0,SEA,28.0,26.0,800.0,346.0,21.0,103.0,124.0,57.0,35.0,5.0,75.0,82.0,314.0,123.0,87.0,76.0,78.0,24.0,0.0,SEA,WE,Y,Seattle Storm,906.0,2066.0,544.0,688.0,142.0,429.0,323.0,776.0,1099.0,520.0,657.0,201.0,516.0,158.0,2498.0,892.0,2163.0,490.0,646.0,133.0,419.0,334.0,686.0,1020.0,568.0,691.0,267.0,438.0,154.0,2407.0,20.0,14.0,34.0,14.0,3.0,6.0,11.0,13.0,9.0,6825.0,151150.0,KeyArena at Seattle Center,donovan99w,0.0,20.0,14.0,,
stevema01w,F-C,75.0,166.0,Auburn,41.0,6,0.0,SEA,4.0,1.0,53.0,6.0,2.0,4.0,6.0,1.0,2.0,0.0,4.0,3.0,12.0,3.0,0.0,0.0,1.0,0.0,0.0,SEA,WE,Y,Seattle Storm,906.0,2066.0,544.0,688.0,142.0,429.0,323.0,776.0,1099.0,520.0,657.0,201.0,516.0,158.0,2498.0,892.0,2163.0,490.0,646.0,133.0,419.0,334.0,686.0,1020.0,568.0,691.0,267.0,438.0,154.0,2407.0,20.0,14.0,34.0,14.0,3.0,6.0,11.0,13.0,9.0,6825.0,151150.0,KeyArena at Seattle Center,donovan99w,0.0,20.0,14.0,,
thompal01w,F,73.0,180.0,Texas Tech,47.0,6,0.0,SEA,30.0,1.0,329.0,83.0,10.0,35.0,45.0,14.0,4.0,4.0,18.0,17.0,81.0,32.0,16.0,12.0,22.0,7.0,0.0,SEA,WE,Y,Seattle Storm,906.0,2066.0,544.0,688.0,142.0,429.0,323.0,776.0,1099.0,520.0,657.0,201.0,516.0,158.0,2498.0,892.0,2163.0,490.0,646.0,133.0,419.0,334.0,686.0,1020.0,568.0,691.0,267.0,438.0,154.0,2407.0,20.0,14.0,34.0,14.0,3.0,6.0,11.0,13.0,9.0,6825.0,151150.0,KeyArena at Seattle Center,donovan99w,0.0,20.0,14.0,,
vodopna01w,F,75.0,181.0,,42.0,6,0.0,SEA,17.0,0.0,98.0,25.0,3.0,17.0,20.0,10.0,3.0,2.0,8.0,9.0,22.0,8.0,12.0,8.0,5.0,1.0,0.0,SEA,WE,Y,Seattle Storm,906.0,2066.0,544.0,688.0,142.0,429.0,323.0,776.0,1099.0,520.0,657.0,201.0,516.0,158.0,2498.0,892.0,2163.0,490.0,646.0,133.0,419.0,334.0,686.0,1020.0,568.0,691.0,267.0,438.0,154.0,2407.0,20.0,14.0,34.0,14.0,3.0,6.0,11.0,13.0,9.0,6825.0,151150.0,KeyArena at Seattle Center,donovan99w,0.0,20.0,14.0,,
wrighta01w,G,71.0,165.0,Penn State,39.0,6,0.0,SEA,34.0,8.0,528.0,122.0,20.0,37.0,57.0,53.0,18.0,3.0,40.0,60.0,106.0,49.0,36.0,24.0,1.0,0.0,1.0,SEA,WE,Y,Seattle Storm,906.0,2066.0,544.0,688.0,142.0,429.0,323.0,776.0,1099.0,520.0,657.0,201.0,516.0,158.0,2498.0,892.0,2163.0,490.0,646.0,133.0,419.0,334.0,686.0,1020.0,568.0,691.0,267.0,438.0,154.0,2407.0,20.0,14.0,34.0,14.0,3.0,6.0,11.0,13.0,9.0,6825.0,151150.0,KeyArena at Seattle Center,donovan99w,0.0,20.0,14.0,,
zarafr01w,G,70.0,146.0,,46.0,6,0.0,SEA,34.0,4.0,413.0,90.0,11.0,28.0,39.0,51.0,16.0,1.0,41.0,29.0,85.0,34.0,21.0,17.0,22.0,5.0,0.0,SEA,WE,Y,Seattle Storm,906.0,2066.0,544.0,688.0,142.0,429.0,323.0,776.0,1099.0,520.0,657.0,201.0,516.0,158.0,2498.0,892.0,2163.0,490.0,646.0,133.0,419.0,334.0,686.0,1020.0,568.0,691.0,267.0,438.0,154.0,2407.0,20.0,14.0,34.0,14.0,3.0,6.0,11.0,13.0,9.0,6825.0,151150.0,KeyArena at Seattle Center,donovan99w,0.0,20.0,14.0,,
batteja01w,F,73.0,163.0,Notre Dame,40.0,7,0.0,DET,26.0,1.0,178.0,36.0,13.0,12.0,25.0,7.0,2.0,3.0,4.0,21.0,54.0,15.0,7.0,4.0,14.0,2.0,0.0,DET,EA,Y,Detroit Shock,919.0,2220.0,553.0,746.0,136.0,414.0,406.0,880.0,1286.0,572.0,711.0,213.0,537.0,137.0,2527.0,840.0,2165.0,529.0,702.0,175.0,561.0,324.0,760.0,1084.0,474.0,733.0,275.0,506.0,108.0,2384.0,23.0,11.0,34.0,14.0,3.0,9.0,8.0,14.0,6.0,6825.0,159453.0,The Palace of Auburn Hills,laimbbi01w,0.0,23.0,11.0,,
