playerID,pos,height,weight,college,collegeOther,age,year,stint,tmID,playerPowerRanking,PER,postPlayerPowerRanking,postPER,countAwards
askamma01w,C,77.0,198,none,,53.0,1,0,MIA,47.747649506528305,11.183951668584587,0.0,0.0,0.0
askamma01w,C,77.0,198,none,,53.0,2,0,MIA,25.981012933012618,7.97519257540603,0.0,0.0,0.0
askamma01w,C,77.0,198,none,,53.0,3,2,LAS,20.852575468829663,12.05885116279069,17.89879090016556,-4.264666666666667,0.0
askamma01w,C,77.0,198,none,,53.0,3,1,MIA,12.221299463438674,5.3560694444444445,0.0,0.0,0.0
atkinla01w,G-F,72.0,172,North Carolina,,39.0,7,0,IND,19.96871711930706,7.9574556354916055,17.788575000936948,18.621137931034482,0.0
atkinla01w,G-F,72.0,172,North Carolina,,39.0,8,0,SAC,15.88113986774937,7.300424778761064,1.2301412180052955,-11.197142857142856,0.0
atkinla01w,G-F,72.0,172,North Carolina,,39.0,9,0,SAC,16.778991894144873,6.258301369863012,0.0,0.0,0.0
atkinla01w,G-F,72.0,172,North Carolina,,39.0,10,0,SEA,29.444459438649076,17.9379347826087,0.0,0.0,0.0
atunrmo01w,G-F,70.0,143,Texas A&M,,37.0,9,0,SAS,19.259837180310296,6.131824712643678,13.708572873780902,10.508249999999999,0.0
augusse01w,F,72.0,179,Louisiana State,,39.0,7,0,MIN,52.166778729555936,18.014049822064056,0.0,0.0,1.0
augusse01w,F,72.0,179,Louisiana State,,39.0,8,0,MIN,54.91648372817401,23.209364135407142,0.0,0.0,0.0
augusse01w,F,72.0,179,Louisiana State,,39.0,9,0,MIN,51.46846728266075,18.554350287907862,0.0,0.0,0.0
augusse01w,F,72.0,179,Louisiana State,,39.0,10,0,MIN,43.814035780638456,27.1390393258427,0.0,0.0,0.0
aycocan01w,G-F,74.0,172,Kansas,,50.0,1,2,MIN,2.2997763924383268,27.609166666666667,0.0,0.0,0.0
aycocan01w,G-F,74.0,172,Kansas,,50.0,1,1,SEA,1.40070858927395,-14.002999999999997,0.0,0.0,0.0
azizle01w,F,75.0,177,Syracuse,,44.0,4,0,IND,9.902760048283618,2.9648409090909094,0.0,0.0,0.0
azzije01w,G,68.0,143,Stanford,,55.0,1,0,UTA,45.66752281600422,11.888799642218247,0.0,0.0,0.0
azzije01w,G,68.0,143,Stanford,,55.0,2,0,UTA,52.06259502727527,9.996743568464732,32.32179375751929,1.995386666666666,0.0
azzije01w,G,68.0,143,Stanford,,55.0,3,0,UTA,50.429191293740104,11.046713292788878,43.83351499061499,11.071021505376347,0.0
azzije01w,G,68.0,143,Stanford,,55.0,4,0,SAS,45.47114442403027,7.711468309859151,0.0,0.0,0.0
badertr01w,G,64.0,125,Boise State,,50.0,1,0,CLE,18.604340561741456,7.578303482587065,11.193749121031326,5.336666666666668,0.0
badertr01w,G,64.0,125,Boise State,,50.0,2,0,CLE,11.068180205376644,7.024324561403508,0.7784437283195466,-9.7975,0.0
badertr01w,G,64.0,125,Boise State,,50.0,3,0,CLE,14.65329254996479,2.490219696969698,0.0,0.0,0.0
bakersh01w,G,68.0,125,Georgia,,41.0,7,0,NYL,30.74577571488755,9.98344788273616,0.0,0.0,0.0
bakersh01w,G,68.0,125,Georgia,,41.0,8,2,LAS,31.422438285787518,10.848359756097555,0.0,0.0,0.0
bakersh01w,G,68.0,125,Georgia,,41.0,8,1,NYL,16.043967926638683,17.00846153846154,0.0,0.0,0.0
bakersh01w,G,68.0,125,Georgia,,41.0,9,0,IND,15.930505733563477,15.730472727272723,0.0,0.0,0.0
