tmID,year,coachesPowerRanking
ATL,9,-78.57142857142857
ATL,10,56.428571428571445
CHA,1,-35.714285714285715
CHA,2,42.14285714285717
CHA,3,13.57142857142859
CHA,4,6.428571428571445
CHA,5,28.57142857142857
CHA,6,-37.07983193277312
CHA,7,-16.07142857142857
CHI,7,-69.64285714285714
CHI,8,10.714285714285708
CHI,9,-7.142857142857153
CHI,10,28.57142857142857
CLE,1,36.071428571428555
CLE,2,116.42857142857143
CLE,3,-17.85714285714286
CLE,4,14.642857142857125
CON,4,40.71428571428572
CON,5,72.14285714285717
CON,6,143.57142857142856
CON,7,179.28571428571428
CON,8,23.571428571428584
CON,9,100.35714285714286
CON,10,28.57142857142857
DET,1,17.85714285714286
DET,2,-17.85714285714286
DET,3,-2.790178571428564
DET,4,221.78571428571428
DET,5,14.642857142857125
DET,6,-11.42857142857143
DET,7,151.07142857142856
DET,8,102.85714285714283
DET,9,162.14285714285714
DET,10,55.46703296703296
HOU,1,236.78571428571428
HOU,2,22.500000000000007
HOU,3,84.28571428571426
HOU,4,41.428571428571416
HOU,5,1.7857142857142776
HOU,6,29.64285714285714
HOU,7,6.428571428571445
HOU,8,1.7857142857142776
HOU,9,37.499999999999986
IND,1,-26.785714285714278
IND,2,-17.85714285714286
IND,3,12.857142857142847
IND,4,28.57142857142857
IND,5,19.642857142857153
IND,6,67.5
IND,7,33.21428571428572
IND,8,64.64285714285714
IND,9,14.642857142857125
IND,10,105.0
LAS,1,187.14285714285714
LAS,2,225.71428571428572
LAS,3,218.92857142857144
LAS,4,105.7142857142857
LAS,5,42.94973544973545
LAS,6,13.928571428571423
LAS,7,83.21428571428572
LAS,8,-25.0
LAS,9,55.714285714285694
LAS,10,37.85714285714286
MIA,1,8.92857142857143
MIA,2,48.571428571428555
MIA,3,26.785714285714292
MIN,1,26.785714285714292
MIN,2,-1.4210854715202004e-14
MIN,3,-5.691964285714288
MIN,4,23.571428571428584
MIN,5,56.428571428571445
MIN,6,10.714285714285708
MIN,7,-3.886554621848732
MIN,8,-25.0
MIN,9,28.57142857142857
MIN,10,10.714285714285708
NYL,1,80.0
NYL,2,71.78571428571428
NYL,3,42.14285714285717
NYL,4,28.57142857142857
NYL,5,14.184981684981688
NYL,6,6.428571428571445
NYL,7,-16.07142857142857
NYL,8,5.714285714285708
NYL,9,46.78571428571428
NYL,10,4.464285714285712
ORL,1,12.857142857142847
ORL,2,8.92857142857143
ORL,3,35.71428571428571
PHO,1,31.428571428571416
PHO,2,8.92857142857143
PHO,3,-10.60267857142857
PHO,4,-42.857142857142854
PHO,5,37.499999999999986
PHO,6,28.57142857142857
PHO,7,46.428571428571445
PHO,8,171.07142857142856
PHO,9,28.57142857142857
PHO,10,131.07142857142856
POR,1,-17.85714285714286
POR,2,-8.92857142857143
POR,3,35.71428571428571
SAC,1,40.35714285714286
SAC,2,54.536679536679536
SAC,3,17.85714285714286
SAC,4,29.124999999999993
SAC,5,37.85714285714286
SAC,6,258.92857142857144
SAC,7,116.07142857142856
SAC,8,32.5
SAC,9,23.571428571428584
SAC,10,2.94117647058824
SAS,4,-5.252100840336139
SAS,5,-23.319327731092443
SAS,6,-51.78571428571429
SAS,7,1.7857142857142776
SAS,8,88.57142857142856
SAS,9,68.57142857142856
SAS,10,-3.214285714285708
SEA,1,-53.57142857142857
SEA,2,-17.85714285714286
SEA,3,4.642857142857125
SEA,4,46.428571428571445
SEA,5,127.14285714285711
SEA,6,41.428571428571416
SEA,7,23.571428571428584
SEA,8,-2.500000000000014
SEA,9,59.28571428571428
SEA,10,41.428571428571416
UTA,1,53.57142857142859
UTA,2,17.048319327731097
UTA,3,45.714285714285694
WAS,1,-3.3403361344537785
WAS,2,-17.85714285714286
WAS,3,106.07142857142856
WAS,4,-33.928571428571416
WAS,5,14.642857142857125
WAS,6,28.57142857142857
WAS,7,6.428571428571445
WAS,8,36.97478991596638
WAS,9,-6.30252100840336
WAS,10,-11.42857142857143
