year,lgID,tmID,confID,divID,rank,seeded,firstRound,semis,finals,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,tmORB,tmDRB,tmTRB,opptmORB,opptmDRB,opptmTRB,won,GP,homeW,homeL,awayW,awayL,confW,confL,attend,arena,playoff
9,WNBA,ATL,EA,,7,0,,,,895,2258,542,725,202,598,1077,492,796,285,593,142,2534,1014,2254,679,918,172,502,1265,684,726,310,561,134,2879,0,0,0,0,0,0,4,34,1,16,3,14,2,18,141379,Philips Arena,Y
1,WNBA,CHA,EA,,8,0,,,,812,1903,431,577,131,386,935,551,713,222,496,90,2186,879,1930,533,716,138,423,990,596,596,259,426,123,2429,0,0,0,0,0,0,8,32,5,11,3,13,5,16,90963,Charlotte Coliseum,Y
2,WNBA,CHA,EA,,4,0,W,W,L,746,1780,410,528,153,428,948,467,605,217,474,114,2055,732,1846,431,562,114,369,911,443,579,257,447,124,2009,0,0,0,0,0,0,18,32,11,5,7,9,15,6,105525,Charlotte Coliseum,Y
3,WNBA,CHA,EA,,2,0,L,,,770,1790,490,663,211,527,955,496,647,241,408,105,2241,778,1807,444,598,133,372,915,489,600,208,424,103,2133,0,0,0,0,0,0,18,32,11,5,7,9,12,9,106670,Charlotte Coliseum,Y
4,WNBA,CHA,EA,,2,0,L,,,787,1881,456,590,187,517,971,499,697,279,497,115,2217,790,1902,477,667,138,407,1007,491,606,264,469,104,2195,0,0,0,0,0,0,18,34,13,4,5,12,12,12,120061,Charlotte Coliseum,N
5,WNBA,CHA,EA,,5,0,,,,745,1744,436,590,166,459,872,426,648,210,479,134,2092,800,1932,438,587,130,349,996,516,595,243,437,114,2168,0,0,0,0,0,0,16,34,10,7,6,11,8,12,116383,Charlotte Coliseum,N
6,WNBA,CHA,EA,,6,0,,,,772,1913,447,624,104,301,925,493,727,284,535,113,2095,851,1888,509,713,124,339,1055,496,654,269,534,146,2335,0,0,0,0,0,0,6,34,5,12,1,16,4,16,98054,Charlotte Coliseum,N
7,WNBA,CHI,EA,,7,0,,,,858,2175,449,643,157,536,1037,509,674,277,527,125,2322,971,2147,545,736,200,536,1239,623,584,262,535,120,2687,0,0,0,0,0,0,5,34,3,14,2,15,4,16,57635,UIC Pavilion,N
8,WNBA,CHI,EA,,6,0,,,,925,2277,489,723,186,544,1165,597,634,262,510,112,2525,963,2243,501,642,184,481,1225,584,683,242,566,138,2611,0,0,0,0,0,0,14,34,6,11,8,9,6,14,66557,UIC Pavilion,N
9,WNBA,CHI,EA,,5,0,,,,899,2100,564,812,110,341,1127,548,639,269,525,149,2472,917,2203,506,655,170,508,1160,531,681,255,522,124,2510,0,0,0,0,0,0,12,34,8,9,4,13,10,10,62146,UIC Pavilion,N
1,WNBA,CLE,EA,,2,0,W,L,,809,1828,426,570,141,407,934,539,647,259,538,91,2185,774,1761,455,583,119,368,873,540,693,305,552,95,2122,0,0,0,0,0,0,17,32,13,3,4,12,13,8,137532,Quicken Loans Arena,Y
2,WNBA,CLE,EA,,1,0,L,,,763,1770,372,505,106,335,959,503,532,267,444,83,2004,664,1745,328,444,132,417,891,434,597,225,496,127,1788,0,0,0,0,0,0,22,32,14,2,8,8,15,6,147373,Quicken Loans Arena,N
3,WNBA,CLE,EA,,7,0,,,,760,1820,430,553,121,374,969,480,567,221,451,83,2071,797,1834,397,521,149,441,918,530,613,242,428,109,2140,0,0,0,0,0,0,10,32,4,12,6,10,7,14,149084,Quicken Loans Arena,Y
4,WNBA,CON,EA,,3,0,W,L,,864,2102,479,646,177,549,1095,520,663,270,434,111,2384,864,2104,509,673,172,536,1178,553,669,252,476,88,2409,0,0,0,0,0,0,18,34,10,7,8,9,11,13,102433,Mohegan Sun Arena,Y
5,WNBA,CON,EA,,1,0,W,W,L,876,2051,434,590,149,467,1045,572,610,299,462,96,2335,858,1996,443,599,145,384,1063,565,627,239,492,113,2304,0,0,0,0,0,0,18,34,10,7,8,9,14,6,114017,Mohegan Sun Arena,Y
6,WNBA,CON,EA,,1,0,W,W,W,916,2025,512,688,130,373,1110,573,624,236,452,130,2474,835,2100,452,599,122,400,1078,495,675,258,442,79,2244,0,0,0,0,0,0,26,34,14,3,12,5,13,7,121944,Mohegan Sun Arena,Y
7,WNBA,CON,EA,,1,0,W,L,,982,2216,545,675,174,510,1268,630,530,252,514,153,2683,948,2357,358,500,163,508,1153,528,646,273,486,103,2417,0,0,0,0,0,0,26,34,14,3,12,5,15,5,126096,Mohegan Sun Arena,Y
8,WNBA,CON,EA,,3,0,L,,,1001,2327,478,615,195,572,1222,619,641,272,540,156,2675,976,2317,475,626,166,485,1179,581,633,246,524,85,2593,0,0,0,0,0,0,18,34,8,9,10,7,10,10,135490,Mohegan Sun Arena,Y
9,WNBA,CON,EA,,2,0,L,,,965,2286,539,723,221,669,1239,607,629,211,487,97,2690,955,2284,472,638,159,496,1200,554,703,252,499,104,2541,0,0,0,0,0,0,21,34,13,4,8,9,13,7,129951,Mohegan Sun Arena,N
1,WNBA,DET,EA,,5,0,,,,868,1980,519,699,76,273,985,503,701,260,530,88,2331,905,1967,480,652,136,372,971,513,672,284,543,148,2426,0,0,0,0,0,0,14,32,8,8,6,10,10,11,107289,The Palace of Auburn Hills,N
2,WNBA,DET,EA,,7,0,,,,774,1914,412,542,143,405,945,469,602,225,498,82,2103,848,1837,446,583,127,340,981,438,591,262,483,109,2269,0,0,0,0,0,0,10,32,6,10,4,12,7,14,109348,The Palace of Auburn Hills,N
3,WNBA,DET,EA,,8,0,,,,766,1919,472,651,110,364,1079,478,609,201,541,132,2114,828,1984,464,605,146,447,983,465,637,277,443,139,2266,0,0,0,0,0,0,9,32,7,9,2,14,6,15,94171,The Palace of Auburn Hills,Y
4,WNBA,DET,EA,,1,0,W,W,W,902,2004,624,882,125,323,1230,545,605,263,608,158,2553,911,2286,412,556,161,541,1064,504,774,309,497,129,2395,0,0,0,0,0,0,25,34,13,4,12,5,18,6,133647,The Palace of Auburn Hills,Y
