year,tmID,confID,rank,firstRound,semis,finals,o_oreb,o_dreb,d_oreb,d_dreb,min,arena,playoff,powerRanking2
4,MIN,WE,4,L,,,361,718,337,652,6850,Target Center,Y,110.40716549492389
5,MIN,WE,3,L,,,332,724,323,713,6850,Target Center,N,99.80209158000986
6,MIN,WE,6,,,,310,715,344,711,6850,Target Center,N,79.23021049835003
7,MIN,WE,7,,,,340,804,372,832,6825,Target Center,N,73.89141197084047
8,MIN,WE,6,,,,397,785,318,800,6875,Target Center,N,86.71242388783092
9,MIN,WE,7,,,,353,792,350,862,6900,Target Center,N,108.28358941814503
1,NYL,EA,1,W,W,L,288,652,320,647,6425,Madison Square Garden (IV),Y,118.97493674321169
2,NYL,EA,2,W,L,,255,660,304,679,6400,Madison Square Garden (IV),Y,125.37298751774436
3,NYL,EA,1,W,W,L,260,610,312,649,6450,Madison Square Garden (IV),N,105.41965885583203
4,NYL,EA,6,,,,271,686,326,736,6850,Madison Square Garden (IV),Y,91.72688771691186
5,NYL,EA,2,W,L,,263,741,371,730,6900,Madison Square Garden (IV),Y,101.15119187616341
6,NYL,EA,3,L,,,242,732,345,685,6925,Madison Square Garden (IV),N,97.52784397972944
7,NYL,EA,5,,,,285,736,341,832,6875,Madison Square Garden (IV),Y,68.14554722637057
8,NYL,EA,4,L,,,287,788,378,837,6850,Madison Square Garden (IV),Y,95.30230333411514
9,NYL,EA,3,W,L,,327,778,352,823,6900,Madison Square Garden (IV),N,116.30404438047024
1,ORL,EA,3,L,,,319,606,348,669,6500,Amway Arena,N,97.2073641254763
2,ORL,EA,5,,,,356,614,316,659,6450,Amway Arena,N,76.7107356650387
1,PHO,WE,4,L,,,275,619,334,635,6425,US Airways Center,N,106.83013390913038
2,PHO,WE,5,,,,300,642,333,698,6450,US Airways Center,N,79.77820993418462
3,PHO,WE,7,,,,292,626,309,692,6400,US Airways Center,N,60.239944709585245
4,PHO,WE,7,,,,357,643,303,811,6925,US Airways Center,N,44.99151623082514
5,PHO,WE,5,,,,264,652,309,711,6825,US Airways Center,N,89.857398580816
6,PHO,WE,5,,,,342,720,319,705,6800,US Airways Center,N,102.036519478098
7,PHO,WE,5,,,,334,811,408,875,6900,US Airways Center,Y,125.25161644049771
8,PHO,WE,1,W,W,W,279,873,445,945,6850,US Airways Center,N,161.91656198293697
9,PHO,WE,6,,,,375,851,440,858,6825,US Airways Center,Y,120.15836925058979
1,POR,WE,7,,,,309,627,307,646,6525,Rose Garden Arena,N,61.40337809379671
2,POR,WE,7,,,,300,696,343,763,6525,Rose Garden Arena,N,65.71242150559362
1,SAC,WE,3,L,,,388,650,320,631,6400,ARCO Arena (II),Y,134.6674727840464
2,SAC,WE,2,W,L,,374,723,343,662,6525,ARCO Arena (II),N,133.6314562507752
3,SAC,WE,6,,,,301,648,352,723,6575,ARCO Arena (II),Y,81.79492503913444
4,SAC,WE,3,W,L,,349,718,345,751,6825,ARCO Arena (II),Y,109.2161285040165
5,SAC,WE,4,W,L,,389,635,310,676,6900,ARCO Arena (II),Y,101.72658481530462
6,SAC,WE,1,W,W,W,369,674,273,694,6800,ARCO Arena (II),Y,132.40015228124122
7,SAC,WE,2,W,W,L,418,720,294,725,6875,ARCO Arena (II),Y,114.65097707343469
8,SAC,WE,3,L,,,452,723,308,718,6950,ARCO Arena (II),Y,114.48507438032402
9,SAC,WE,4,L,,,388,721,308,767,6800,ARCO Arena (II),N,95.85046472307359
4,SAS,WE,6,,,,350,795,389,783,6825,AT&T Center,N,78.4040787690089
5,SAS,WE,7,,,,302,701,324,710,6875,AT&T Center,N,58.03621672635052
6,SAS,WE,7,,,,256,690,351,704,6800,AT&T Center,N,36.45155124286739
7,SAS,WE,6,,,,354,814,372,865,6800,AT&T Center,Y,94.30567128990243
8,SAS,WE,2,W,L,,323,764,361,776,6875,AT&T Center,Y,122.4435489851941
9,SAS,WE,1,W,W,L,246,847,389,817,6850,AT&T Center,Y,135.33230191635027
1,SEA,WE,8,,,,256,537,288,721,6475,KeyArena at Seattle Center,N,23.162307259531378
2,SEA,WE,8,,,,306,585,296,756,6550,KeyArena at Seattle Center,Y,49.74442269536128
3,SEA,WE,4,L,,,362,633,307,662,6450,KeyArena at Seattle Center,N,103.27543016038808
4,SEA,WE,5,,,,342,732,352,689,6850,KeyArena at Seattle Center,Y,104.03630470672904
5,SEA,WE,2,W,W,W,350,709,303,679,6825,KeyArena at Seattle Center,Y,115.81611078338499
6,SEA,WE,2,L,,,323,776,334,686,6825,KeyArena at Seattle Center,Y,120.02746622070009
