tmID,year,average_powerRanking,average_PER,average_postPowerRanking,average_postPER,coachesPowerRanking,powerRanking2,playoff,confID,playersAwards
MIN,2,30.047189551263546,8.479390163139369,0.0,0.0,-1.4210854715202004e-14,-31.444443284495804,N,WE,0.0
MIN,3,26.264909869106702,7.246348128717727,0.0,0.0,-5.691964285714288,-73.47849556143257,N,WE,0.0
MIN,4,29.079161610435282,9.942764662448749,17.6931877125478,5.23793082490673,23.571428571428584,178.125191520683,Y,WE,0.0
MIN,5,27.56340605668886,8.950899125850853,13.99323743103252,-7.761159830457991,56.428571428571445,150.14436727216903,Y,WE,0.0
MIN,6,24.014149449916253,5.402514640866705,0.0,0.0,10.714285714285708,24.707022434221965,N,WE,0.0
MIN,7,30.03256901657837,10.700025592244003,0.0,0.0,-3.886554621848732,-50.52005388777087,N,WE,1.0
MIN,8,30.120846035286508,9.723634030360063,0.0,0.0,-25.0,-68.41496964043905,N,WE,0.0
MIN,9,26.479442063695902,10.072233971825117,0.0,0.0,28.57142857142857,135.01435304855949,N,WE,1.0
MIN,10,32.41447636010807,11.832475372768544,0.0,0.0,10.714285714285708,-63.65615634216508,N,WE,0.0
MIN,1,25.92017951446454,8.862416442812865,0.0,0.0,26.78571428571429,30.131028143632648,N,WE,1.0
CON,9,29.351423380082245,12.481340389296967,16.999887762198018,6.1256584524430915,100.35714285714286,282.20817667965105,Y,EA,0.0
CON,7,28.330562818338738,11.786970696853228,18.954313382198468,6.116873700850775,179.28571428571428,377.06962539669377,Y,EA,0.0
CON,10,29.709799501721186,11.852141504849996,0.0,0.0,28.57142857142857,83.5257537349025,N,EA,0.0
CON,4,31.59996258652286,10.070434021888694,22.835506186903906,11.364338575243908,40.71428571428572,135.83182195537472,Y,EA,0.0
CON,5,32.51433230000006,10.762642349225992,25.858536558481468,10.503920381327502,72.14285714285717,153.15344741763877,Y,EA,1.0
CON,6,29.488240304472257,8.956277487641835,24.53631868445306,7.332336680685207,143.57142857142856,350.4265392655523,Y,EA,0.0
CON,8,29.878453690761873,1.8999904254760978,21.435737363515905,9.161316519135116,23.571428571428584,206.50887005385908,Y,EA,0.0
UTA,3,30.116255200607743,10.906278488920512,21.433657133077563,10.5566852980777,45.714285714285694,146.44373638221953,Y,WE,0.0
UTA,1,29.50119257929924,10.775812798978166,0.0,0.0,53.57142857142859,135.20450343797398,N,WE,0.0
UTA,2,28.80650894571508,7.264443110841392,14.748802249265458,9.001199926229727,17.048319327731097,147.56402617785687,Y,WE,0.0
HOU,9,28.22526520687776,7.285735585162881,0.0,0.0,37.49999999999999,114.35204784687414,N,WE,0.0
HOU,1,31.1795923782503,11.518912801462882,22.363588785157962,6.898817303035526,236.78571428571428,409.1534052824922,Y,WE,3.0
HOU,2,29.885653737722976,8.526216619128405,18.73703671029151,6.353106123981849,22.500000000000007,157.49061367501952,Y,WE,1.0
HOU,3,27.464981723284744,8.249306448663974,16.895580069069787,5.910960989717552,84.28571428571426,315.30207576119574,Y,WE,2.0
HOU,4,30.965809915463193,8.20689248915394,18.300800891210457,2.3675660379922125,41.428571428571416,234.67582549672528,Y,WE,2.0
HOU,6,27.465300247738558,7.608617804894754,18.45271400503172,11.660096571636569,29.64285714285714,141.29317754593805,Y,WE,1.0
HOU,5,28.820974669686464,7.113159385560835,0.0,0.0,1.7857142857142776,15.676935756505369,N,WE,0.0
HOU,7,29.734814074789554,8.854695180528422,17.3568051368824,7.130383127844142,6.428571428571445,200.7120412435396,Y,WE,0.0
HOU,8,29.9602134914008,8.853869942681165,0.0,0.0,1.7857142857142776,30.22004576182818,N,WE,0.0
WAS,10,29.653884717736172,9.272173032139532,15.59701309822435,7.770144301194836,-11.42857142857143,57.17435331329589,Y,EA,1.0
WAS,1,27.64936278337672,8.90469281159054,15.074854685940208,4.135642325123514,-3.3403361344537785,122.72354497124888,Y,EA,0.0
WAS,2,24.971749473912524,4.602415835127823,0.0,0.0,-17.85714285714286,-41.18988100566209,N,EA,0.0
WAS,6,27.56430016028372,9.261297913969246,0.0,0.0,28.57142857142857,68.84893216899142,N,EA,1.0
WAS,5,30.40853621144848,9.6913577451489,19.97006224512975,8.215133546961654,14.642857142857125,101.97152491468776,Y,EA,0.0
WAS,7,31.542603385547974,12.788114329914654,14.542292429796932,4.432858292534004,6.428571428571445,161.49622589327308,Y,EA,0.0
WAS,8,28.386396889667324,9.84246796360404,0.0,0.0,36.97478991596638,58.52449709990778,N,EA,0.0
WAS,9,24.737004950864698,6.799162344469853,0.0,0.0,-6.30252100840336,4.718420917359245,N,EA,0.0
WAS,3,26.428465486536236,5.777708270383756,19.931162759464943,9.165258052103527,106.07142857142856,161.13505310935736,Y,EA,1.0
WAS,4,27.264957486344095,8.603835414349962,0.0,0.0,-33.928571428571416,-51.42588209708398,N,EA,0.0
ORL,2,29.278557513456793,7.550836455534945,0.0,0.0,8.92857142857143,-28.015916917252767,N,EA,0.0
ORL,3,27.588775637386977,11.062841304810105,0.0,0.0,35.71428571428571,34.283740442223305,N,EA,0.0
ORL,1,27.221472184448455,9.280475177289564,15.97755714342148,4.745042827981255,12.857142857142849,101.85573604554138,Y,EA,0.0
SAC,9,27.11380227423867,9.304302991371422,18.747139572425166,5.850168757635443,23.571428571428584,95.90221975274464,Y,WE,0.0
SAC,3,25.362577943666917,6.894996790904521,0.0,0.0,17.85714285714286,-27.95099188549117,N,WE,0.0
SAC,4,30.474162448402964,9.639043068492349,23.764349509468524,4.895761385069243,29.124999999999996,199.08853037965727,Y,WE,0.0
