year,tmID,confID,playoff,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,won,lost,GP,homeW,homeL,awayW,awayL,confW,confL,attend,arena
3,SEA,WE,Y,794,1948,418,543,182,506,995,514,623,282,477,151,2188,783,1818,435,587,102,342,969,488,563,254,531,125,2103,17,15,32,10,6,7,9,10,11,111774,KeyArena at Seattle Center
4,SEA,WE,N,890,2045,442,567,166,500,1074,548,644,232,465,138,2388,844,2039,441,591,145,437,1041,456,570,245,459,104,2274,18,16,34,13,4,5,12,11,13,120857,KeyArena at Seattle Center
5,SEA,WE,Y,873,2025,524,676,167,439,1059,552,665,302,499,131,2437,851,1989,423,592,139,391,982,507,678,252,527,137,2264,20,14,34,13,4,7,10,13,9,134291,KeyArena at Seattle Center
6,SEA,WE,Y,906,2066,544,688,142,429,1099,520,657,201,516,158,2498,892,2163,490,646,133,419,1020,568,691,267,438,154,2407,20,14,34,14,3,6,11,13,9,151150,KeyArena at Seattle Center
7,SEA,WE,Y,961,2124,562,712,160,475,1148,514,682,232,570,127,2644,940,2218,531,707,164,484,1031,520,683,297,485,115,2575,18,16,34,9,8,9,8,10,10,145664,KeyArena at Seattle Center
8,SEA,WE,Y,964,2210,582,715,224,639,1164,533,620,242,533,151,2734,987,2321,478,586,195,528,1094,591,642,272,495,112,2647,17,17,34,12,5,5,12,11,11,135553,KeyArena at Seattle Center
9,SEA,WE,Y,899,2112,552,728,143,453,1162,530,684,269,526,140,2493,861,2164,512,680,172,539,1092,498,674,263,515,115,2406,22,12,34,16,1,6,11,13,7,140503,KeyArena at Seattle Center
10,SEA,WE,Y,909,2116,555,707,171,486,1104,536,710,276,555,150,2544,882,2150,510,671,202,585,1078,517,672,275,555,131,2476,20,14,34,13,4,7,10,13,7,133858,KeyArena at Seattle Center
1,UTA,WE,N,858,1896,609,790,88,262,1080,522,698,214,544,157,2413,860,1964,531,721,156,448,911,503,702,301,437,112,2407,18,14,32,12,4,6,10,13,8,103442,EnergySolutions Arena
2,UTA,WE,Y,811,1849,507,675,78,244,1070,524,622,202,493,156,2207,789,1976,489,660,125,429,974,478,645,275,390,148,2192,19,13,32,9,7,10,6,11,10,110507,EnergySolutions Arena
3,UTA,WE,Y,843,1911,643,844,89,247,1068,478,665,228,522,178,2418,851,2067,516,688,126,377,1006,489,724,260,444,149,2344,20,12,32,12,4,8,8,12,9,118720,EnergySolutions Arena
1,WAS,EA,Y,832,1813,403,578,109,335,946,521,597,245,506,126,2176,845,1875,382,555,149,397,911,513,595,261,456,102,2221,14,18,32,7,9,7,9,13,8,244134,Verizon Center
2,WAS,EA,N,739,1915,333,504,117,418,1055,424,537,257,495,127,1928,791,1945,347,467,146,408,1068,487,543,261,454,103,2075,10,22,32,8,8,2,14,4,17,246667,Verizon Center
3,WAS,EA,Y,806,1910,359,478,164,443,1038,516,583,221,455,94,2135,786,1903,397,538,147,446,989,442,570,237,441,101,2116,17,15,32,9,7,8,8,12,9,259237,Verizon Center
4,WAS,EA,N,896,2191,381,507,157,505,1085,568,676,213,462,99,2330,909,2033,509,691,171,482,1115,591,565,251,468,119,2498,9,25,34,3,14,6,11,7,17,238710,Verizon Center
5,WAS,EA,Y,873,2088,474,661,105,283,1063,467,652,255,424,128,2325,864,2013,510,686,146,425,1106,534,627,237,492,111,2384,17,17,34,11,6,6,11,9,11,214448,Verizon Center
6,WAS,EA,N,847,1968,388,546,181,510,943,517,697,260,435,76,2263,833,1872,489,648,150,433,1024,545,638,205,504,108,2305,16,18,34,10,7,6,11,9,11,171501,Verizon Center
7,WAS,EA,Y,1016,2199,528,715,187,522,1100,576,784,306,541,113,2747,909,2102,635,851,204,553,1041,583,687,252,573,89,2657,18,16,34,13,4,5,12,12,8,133255,Verizon Center
8,WAS,EA,N,877,2170,668,839,163,528,1118,472,763,282,571,133,2585,924,2216,616,801,175,520,1208,549,762,256,579,103,2639,16,18,34,8,9,8,9,8,12,133255,Verizon Center
9,WAS,EA,N,885,2131,435,659,163,460,1132,483,757,241,637,93,2368,929,2096,563,760,180,528,1093,542,708,314,530,146,2601,10,24,34,6,11,4,13,6,14,154637,Verizon Center
10,WAS,EA,Y,933,2205,580,827,139,426,1191,453,725,314,607,118,2585,945,2184,570,755,162,478,1111,524,778,315,576,156,2622,16,18,34,11,6,5,12,10,12,192747,Verizon Center
