year,tmID,confID,playoff,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,won,lost,GP,homeW,homeL,awayW,awayL,confW,confL,attend,arena
4,DET,EA,Y,902,2004,624,882,125,323,1230,545,605,263,608,158,2553,911,2286,412,556,161,541,1064,504,774,309,497,129,2395,25,9,34,13,4,12,5,18,6,133647,The Palace of Auburn Hills
5,DET,EA,Y,874,2097,556,792,62,209,1170,564,648,277,513,148,2366,860,2098,470,609,191,533,1055,515,728,289,496,131,2381,17,17,34,8,9,9,8,11,9,160860,The Palace of Auburn Hills
6,DET,EA,Y,831,2060,509,774,76,238,1215,474,761,241,571,155,2247,784,1945,565,754,154,456,1018,473,744,272,520,136,2287,16,18,34,12,5,4,13,11,9,159356,The Palace of Auburn Hills
7,DET,EA,Y,919,2220,553,746,136,414,1286,572,711,213,537,137,2527,840,2165,529,702,175,561,1084,474,733,275,506,108,2384,23,11,34,14,3,9,8,14,6,159453,The Palace of Auburn Hills
8,DET,EA,Y,972,2261,595,785,158,442,1311,563,702,227,564,117,2697,895,2262,547,718,203,610,1089,546,767,276,529,117,2540,24,10,34,12,5,12,5,14,6,165738,The Palace of Auburn Hills
9,DET,EA,Y,974,2295,556,744,168,476,1248,604,724,278,496,118,2672,872,2151,563,740,215,616,1085,520,762,229,572,119,2522,22,12,34,14,3,8,9,16,4,162669,The Palace of Auburn Hills
10,DET,EA,Y,980,2277,539,721,153,436,1226,575,766,261,546,97,2652,902,2201,632,813,208,611,1101,524,716,279,531,110,2644,18,16,34,11,6,7,10,11,11,136069,The Palace of Auburn Hills
1,HOU,WE,Y,891,1894,521,634,172,491,997,494,554,284,440,104,2475,786,1938,370,508,124,418,902,473,648,233,480,85,2066,27,5,32,14,2,13,3,17,4,196077,Compaq Center
2,HOU,WE,Y,747,1908,415,539,138,435,1058,426,509,251,436,95,2047,740,1883,362,504,152,456,982,452,561,248,433,120,1994,19,13,32,11,5,8,8,13,8,181115,Compaq Center
3,HOU,WE,Y,755,1778,453,585,109,332,1001,450,467,260,455,126,2072,705,1880,331,452,151,489,973,446,606,262,464,71,1892,24,8,32,14,2,10,6,16,5,188648,Compaq Center
